Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
2c_Hurink_rdata44,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata45,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata53,10,6, 2,180.0000,0.3333,60.0000
2c_Hurink_rdata57,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata58,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata59,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata60,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata61,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata62,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata64,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata65,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata66,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata49,11,5, 2,165.0000,0.4000,66.0000
1_Brandimarte4,15,8, 2,270.0000,0.2500,67.5000
1_Brandimarte12,30,10, 1.49222797927461,481.0000,0.1492,71.7762
2c_Hurink_rdata51,12,5, 2,180.0000,0.4000,72.0000
2d_Hurink_vdata1,6,6, 3.00,144.0000,0.5000,72.0000
5_Kacem1,4,5, 5,72.0000,1.0000,72.0000
3_DPpaulli7,15,8, 1,586.0000,0.1250,73.2500
3_DPpaulli8,15,8, 1,586.0000,0.1250,73.2500
3_DPpaulli9,15,8, 1,586.0000,0.1250,73.2500
3_DPpaulli10,15,8, 1,586.0000,0.1250,73.2500
3_DPpaulli11,15,8, 1,586.0000,0.1250,73.2500
3_DPpaulli12,15,8, 1,586.0000,0.1250,73.2500
1_Brandimarte14,30,15, 1.55956678700361,709.0000,0.1040,73.7155
2b_Hurink_edata34,30,10, 1.15,645.0000,0.1150,74.1750
2b_Hurink_edata35,30,10, 1.15,645.0000,0.1150,74.1750
2b_Hurink_edata36,30,10, 1.15,645.0000,0.1150,74.1750
2b_Hurink_edata37,30,10, 1.15,645.0000,0.1150,74.1750
2b_Hurink_edata38,30,10, 1.15,645.0000,0.1150,74.1750
3_DPpaulli13,20,10, 1,774.0000,0.1000,77.4000
3_DPpaulli14,20,10, 1,774.0000,0.1000,77.4000
3_DPpaulli15,20,10, 1,774.0000,0.1000,77.4000
3_DPpaulli16,20,10, 1,774.0000,0.1000,77.4000
3_DPpaulli17,20,10, 1,774.0000,0.1000,77.4000
3_DPpaulli18,20,10, 1,774.0000,0.1000,77.4000
2c_Hurink_rdata50,13,4, 2,156.0000,0.5000,78.0000
2d_Hurink_vdata50,13,4, 2.00,156.0000,0.5000,78.0000
3_DPpaulli1,10,5, 1,392.0000,0.2000,78.4000
3_DPpaulli2,10,5, 1,392.0000,0.2000,78.4000
3_DPpaulli3,10,5, 1,392.0000,0.2000,78.4000
3_DPpaulli4,10,5, 1,392.0000,0.2000,78.4000
3_DPpaulli5,10,5, 1,392.0000,0.2000,78.4000
3_DPpaulli6,10,5, 1,392.0000,0.2000,78.4000
2c_Hurink_rdata52,14,4, 2,168.0000,0.5000,84.0000
2d_Hurink_vdata52,14,4, 2.00,168.0000,0.5000,84.0000
1_Brandimarte8,20,10, 1.5,562.5000,0.1500,84.3750
2d_Hurink_vdata4,10,5, 2.50,175.0000,0.5000,87.5000
2d_Hurink_vdata5,10,5, 2.50,175.0000,0.5000,87.5000
2d_Hurink_vdata6,10,5, 2.50,175.0000,0.5000,87.5000
2d_Hurink_vdata7,10,5, 2.50,175.0000,0.5000,87.5000
2d_Hurink_vdata8,10,5, 2.50,175.0000,0.5000,87.5000
2c_Hurink_rdata9,15,5, 2,225.0000,0.4000,90.0000
2c_Hurink_rdata10,15,5, 2,225.0000,0.4000,90.0000
